年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間),平均風速(m/s),最大風速(m/s),桜(初見〜満開)
2013/6/12,21.1,24.1,19.3,7,0,2.6,4.7,0
2013/6/13,21.4,22.5,20.7,41,0,3.3,4.9,0
2013/6/14,23.5,27,20.5,11.5,0.4,2.1,3.8,0
2013/6/15,26,29.9,23.1,0,5.4,2.6,6.1,0
2013/6/16,22.9,25.2,21.2,26.5,1.6,2.5,5.1,0
2013/6/17,24.6,29.3,20.7,0,5.9,2.5,5.2,0
2013/6/18,26.9,30.2,23.8,0,4,2.5,5.1,0
2013/6/19,26.7,28,23.9,1,0,5.1,11.6,0
2013/6/20,22.3,24.3,20.8,9,0,3.1,7,0
2013/6/21,21.8,24,19.7,13,0,2.1,4.9,0
2013/6/22,22.8,26.4,18.7,0,6.3,2.4,6,0
2013/6/23,23.4,27.9,19.5,1.5,6.1,2.7,6.6,0
2013/6/24,23.3,27.7,19.7,3.5,2.8,2.1,5.3,0
2013/6/25,24.1,26.3,22.5,0,0.3,2,4.9,0
2013/6/26,21.8,23.7,19.5,37.5,0,2.7,4.7,0
2013/6/27,23,27.5,19,2.5,9.4,3.3,5.8,0
2013/6/28,22.4,25.5,19.3,0,3.7,2.8,5.2,0
2013/6/29,24,28.5,21.2,0,5.6,2.8,8.1,0
2013/6/30,24.2,27.8,22,0,5.3,3.6,6.9,0
2013/7/1,23.8,26.1,22.3,0,0.4,3.8,6.2,0
2013/7/2,24.3,27.9,22,0,8.5,3.2,5.7,0
2013/7/3,24.1,27.4,22.3,0,1.5,5.2,8.3,0
2013/7/4,25.2,27.3,23.2,0.5,0,3.9,6.8,0
2013/7/5,26.8,28.9,24.2,2,0,5.9,9,0
2013/7/6,29.2,33.7,26.8,0,8.8,6.4,9.6,0
2013/7/7,29.5,35.4,25.8,7.5,11.1,3.5,6,0
2013/7/8,29.4,35.3,25.7,4.5,9.8,2.1,7.9,0
2013/7/9,30.1,35.4,25.7,0,12.8,2.5,5.1,0
2013/7/10,30.2,35.3,26.9,0,10.8,2.6,5.1,0
2013/7/11,30.3,34.5,27.4,0,10.9,2.4,5.3,0
2013/7/12,30.9,34.9,27.8,0,10.9,2.5,5.8,0
2013/7/13,30.7,34.4,27.9,0,1.4,1.7,4.4,0
2013/7/14,29.3,34.6,24.8,36.5,4.9,2.4,7.4,0
2013/7/15,28.5,35.1,22.5,0,6.5,3.2,7.6,0
2013/7/16,25.3,29.1,21.6,0,4.8,2.6,5.2,0
2013/7/17,24.6,29.1,22.1,10.5,1.3,2.5,5.3,0
2013/7/18,27.7,31.8,23.8,1,4.9,3.2,6.5,0
2013/7/19,25.4,30.5,21.4,0,8.7,2.8,5.9,0
2013/7/20,23.9,28.3,21.1,0,3.2,2.4,4.3,0
2013/7/21,24.8,29,21,0,8.7,2.5,5.6,0
2013/7/22,26.5,30.4,23.5,0,6.1,2.8,6.5,0
2013/7/23,28,35.2,25.2,24.5,5.9,2.2,7.5,0
2013/7/24,25.4,27.1,24.3,1.5,0,2.6,4.8,0
2013/7/25,26.7,29.3,24.1,0,0,1.5,3,0
2013/7/26,28.4,32.3,25.5,0,5.1,2.7,5.3,0
2013/7/27,27.6,33.1,22.3,19.5,5.2,3,7.8,0
2013/7/28,27.3,31.8,22.9,0.5,8.1,2,4.3,0
2013/7/29,26.3,27.3,24.9,7,0,2.1,4.6,0
2013/7/30,27.8,31.2,25,0,2.3,2.5,5.6,0
2013/7/31,27.4,30.7,25.2,0,0.8,2.7,5.6,0
2013/8/1,27.5,32.8,24.2,0.5,3.2,2.4,5.7,0
2013/8/2,25.6,29.1,23,0,4,2.6,5.3,0
2013/8/3,26.7,30.8,23.5,0,6.6,2.5,5,0
2013/8/4,27.8,31.3,25.4,0,2.3,3,6.1,0
2013/8/5,29.1,32.2,26.9,0,7.9,4.4,7.2,0
2013/8/6,28.7,32,25.4,10.5,1.7,2.9,6.1,0
2013/8/7,30,34.5,26,0,10.1,2.8,6.9,0
2013/8/8,30.3,34.1,27.3,0,7.7,2.6,5.4,0
2013/8/9,31,34.5,27.7,0,9.4,2.6,6.2,0
2013/8/10,33.2,37.4,29,0,10,2,4.3,0
2013/8/11,32.9,38.3,30.4,0,8,2.2,5.8,0
2013/8/12,31.3,35.8,27.9,3.5,7.8,2.7,7.1,0
2013/8/13,30,34.7,26.2,6.5,7.9,3.1,5.9,0
2013/8/14,30.2,34.3,27.3,0,8.5,2.6,5.6,0
2013/8/15,30,34.9,26.5,0,10.3,3.1,6.6,0
2013/8/16,29.7,33,27.6,0,8.9,4,7.6,0
2013/8/17,29.6,32.9,27.3,0,10.1,4.5,8.4,0
2013/8/18,29.6,33.3,27.5,0,10.8,4.7,7.3,0
2013/8/19,30.3,34.2,27.7,0,11.2,4.2,7,0
2013/8/20,30.5,33.9,28.1,0,7.7,4.4,6.9,0
2013/8/21,29.1,33.4,25.4,26.5,2,2.3,5.8,0
2013/8/22,28.5,32.1,25,0,2.8,2.4,5,0
2013/8/23,28.2,30.9,24.8,7.5,0,2.1,6,0
2013/8/24,29,33.5,24.8,0.5,1.6,2.1,5.2,0
2013/8/25,25.5,28.5,23.1,3.5,0,1.6,3.7,0
2013/8/26,26.7,29.6,23.5,4.5,3.9,2.7,6.1,0
2013/8/27,25.4,30.5,20.3,35.5,9.6,2.7,5.2,0
2013/8/28,27.8,33.2,23.2,0,11.1,2.6,5.5,0
2013/8/29,28.3,32.6,25,0,7.4,3.1,6.9,0
2013/8/30,31.4,36.8,27.5,0,10.2,3.5,5.9,0
2013/8/31,30.8,35.3,27.8,0,7.9,3.6,8,0
2013/9/1,30.4,35.7,26.3,0,10.6,3.7,6.7,0
2013/9/2,29,33.1,25.8,0,5.5,3.2,7.2,0
2013/9/3,29.6,33.7,27.3,0,8.2,4,6.6,0
2013/9/4,27.9,30.8,24.7,14,3.1,4.6,10.3,0
2013/9/5,27.5,29.4,24.8,24,2.6,3.9,6.5,0
2013/9/6,26,28.3,24,0,0.4,2.8,5.1,0
2013/9/7,25.9,29.1,23.2,0,1,2.3,4.6,0
2013/9/8,25.2,28.9,21.7,46,0.1,2.6,5.1,0
2013/9/9,24.6,28.7,21.8,0,5.7,2.3,4.3,0
2013/9/10,24.8,27.9,21.4,1.5,3.5,2.2,4.1,0
2013/9/11,24.7,27.7,22.2,3.5,0.3,2.3,4.6,0
2013/9/12,27.6,31.5,23.3,0,11.7,2.2,4.5,0
2013/9/13,28.2,32,25.5,0,8.3,2.7,6.7,0
2013/9/14,28.6,32.5,25.8,0,4.7,2.7,5.3,0
2013/9/15,26.7,29.4,23.5,78,2.1,2.6,6,0
2013/9/16,26.5,29.3,21.7,16.5,0.1,6.9,14,0
2013/9/17,23.5,28.6,19.9,0,11.2,3.2,5.9,0
2013/9/18,23.7,28.7,19.2,0,11.4,2.3,4.6,0
2013/9/19,23.9,28.8,19.5,0,10.6,2.3,4.6,0
2013/9/20,24.9,29.3,20.2,0,10.8,3.3,6.8,0
2013/9/21,25.6,29.9,21.9,0,10.8,2.5,4.7,0
2013/9/22,25.3,30.1,22.4,0,6,2.5,5.4,0
2013/9/23,22,24.3,19,0,2.8,3.8,5.9,0
2013/9/24,22.7,26.4,17.6,4,1.7,2.8,5.9,0
2013/9/25,23.3,24.6,21.7,38,0,2.6,4.3,0
2013/9/26,22.1,24.2,18.1,6,1.1,3.6,6,0
2013/9/27,19.8,24.2,16.8,0,10.5,2.9,4.7,0
2013/9/28,20.3,25.3,15.7,0,7.3,2.2,4.5,0
2013/9/29,22.2,26.2,19.6,0,5.1,1.9,4.1,0
2013/9/30,22.2,26.2,18.6,0,7,2.5,4.8,0
2013/10/1,22.3,23.9,19.5,4,0,2.5,4.7,0
2013/10/2,23.4,26.4,21,35,1,2.9,6,0
2013/10/3,24.5,28.8,20.2,0.5,7.8,2.8,5.3,0
2013/10/4,18.3,20.5,16.8,2.5,0,3,5.1,0
2013/10/5,17.8,19.3,15.2,30,0,3.4,5.1,0
2013/10/6,21.4,24.3,18.8,0.5,0.7,2,3.6,0
2013/10/7,23.6,27.1,20.6,0,2.6,2,4.1,0
2013/10/8,25.4,29.6,22.7,0,7.5,3.5,5.9,0
2013/10/9,26.1,28.8,24.4,0,5.3,5.6,10.9,0
2013/10/10,25,28.4,22.5,0.5,1.2,2.4,4.8,0
2013/10/11,25.7,30.2,22,0.5,7.4,4.9,10.3,0
2013/10/12,26.1,31.3,19.8,0,8.8,4.1,9.1,0
2013/10/13,21.6,26.3,18.2,0,10.1,3.8,8.1,0
2013/10/14,20.8,25.6,16,0,8.3,2.4,4.5,0
2013/10/15,18.2,21.3,16.9,69.5,0,3.1,5.8,0
2013/10/16,20.1,26,16.2,176.5,2.8,6.9,14.1,0
2013/10/17,18,21,15.2,0,5.8,3.2,6.8,0
2013/10/18,17.2,20.1,15.2,0,4.6,2.8,4.8,0
2013/10/19,16.2,18.8,14.4,2.5,0.5,3.1,5,0
2013/10/20,15.2,16.2,14.1,61,0,3.9,8.5,0
2013/10/21,18.4,21.7,15.2,0,1.4,2.1,4.3,0
2013/10/22,18.6,20.5,16.9,0,0,2.7,4.6,0
2013/10/23,17.5,20.1,16.1,0,0.2,2.8,4.7,0
2013/10/24,16,17.5,15.1,2,0,2.8,4.4,0
2013/10/25,18,20.4,15.7,14,0,2.3,5.6,0
2013/10/26,15.4,17.9,13.5,36,0.3,3.1,6,0
2013/10/27,16.6,21.1,12,0,9.8,3.4,7.4,0
2013/10/28,16.1,20.3,12.1,0,9.3,2,4,0
2013/10/29,14.7,16,13.2,5,0.1,2.1,4.1,0
2013/10/30,18,22.1,14.9,0,7.1,2.2,6.5,0
2013/10/31,17.8,21.5,13.8,0,7.8,2.1,4.1,0
2013/11/1,17.2,20.5,14.1,0,8.8,2.2,5.7,0
2013/11/2,15.4,17,13.6,0.5,0,1.8,3.5,0
2013/11/3,17.4,21,15.2,0,2.4,1.4,2.8,0
2013/11/4,16.6,18.4,15,5,0.9,2,4.3,0
2013/11/5,16,19.7,13.2,0,9.6,2.5,4.7,0
2013/11/6,16,20.7,11,0,7.4,3,6.9,0
2013/11/7,15,17.8,12.8,4.5,0.4,1.6,3.1,0
2013/11/8,16.5,21.5,12.3,0,8.9,2.9,5.2,0
2013/11/9,13.3,15.1,11.8,0,0.3,2.3,5,0
2013/11/10,16.6,21.4,11.9,0,1.2,3.8,8.7,0
2013/11/11,12.5,16.8,8.3,1.5,2.9,3.7,8.2,0
2013/11/12,9.6,12.5,7.9,0,1.5,2.2,4.5,0
2013/11/13,9.8,14.1,6.4,0,7.7,3.3,6.2,0
2013/11/14,10.8,14.5,6.2,0,6.9,2,3.8,0
2013/11/15,11.3,12.7,10.1,0.5,0.3,2.3,5.6,0
2013/11/16,12.9,17.4,8.1,0,9.4,2.2,4,0
2013/11/17,14.1,19.2,9.3,0,9,2.2,5.9,0
2013/11/18,14.4,20.1,9.9,0,8.6,3,7.1,0
2013/11/19,12.7,17.4,8.2,0,8.9,3.4,7.3,0
2013/11/20,12.2,17.2,7.4,0,9.5,2.9,5.8,0
2013/11/21,12,16.3,7.3,0,9.4,2,4.6,0
2013/11/22,12.4,17.6,7.2,0,9.2,2.2,4.3,0
2013/11/23,12.6,15.7,9.6,0,9.2,2.5,4.3,0
2013/11/24,12.6,17.4,7.1,0,9.1,1.8,3.9,0
2013/11/25,14.5,19.4,9.9,14,0,3.6,10.6,0
2013/11/26,15.1,19.1,11.2,0,7.8,2.7,6.9,0
2013/11/27,12.9,16,9.7,0,7,3.9,8.2,0
2013/11/28,14,18,8.7,0,3.5,3.8,7.4,0
2013/11/29,9.8,14.1,5.9,0,9.1,3,7.4,0
2013/11/30,10.2,14.1,6,0,8.5,2.6,5,0
2013/12/1,10.4,15,5.1,0,9,1.4,3.5,0
2013/12/2,10.8,15.3,6.7,0,8.9,1.7,3.7,0
2013/12/3,11.7,16.3,7.3,0,8.9,2.1,3.9,0
2013/12/4,11.5,14.5,8.9,0,7.2,2.2,4,0
2013/12/5,11.6,16.3,7.5,0,8.8,2.1,3.9,0
2013/12/6,12.5,17.6,7,0,7.3,1.9,4.3,0
2013/12/7,11.1,14.6,8.8,0,6.8,2.1,3.8,0
2013/12/8,8.8,11.2,6.7,0,2.7,2.4,4.9,0
2013/12/9,8.2,11,4.9,0,0.7,1.5,4.6,0
2013/12/10,9.5,14.1,5.1,9.5,0.4,2.7,8.2,0
2013/12/11,10.1,12.8,7.3,0,4,2.9,6.3,0
2013/12/12,9.9,13.2,7.9,0,7.8,2.9,6.7,0
2013/12/13,9.7,14.9,4.1,0,8.5,4.3,9.7,0
2013/12/14,7.6,11.2,4.6,0,9,2,4.4,0
2013/12/15,7.2,11.4,2.8,0,9,2.6,7.3,0
2013/12/16,8.2,11.9,5.4,0,8.2,4.9,9.3,0
2013/12/17,9.2,12,7,0,4.4,2.2,4.9,0
2013/12/18,6.6,8.8,3.6,9,0,2.6,5.5,0
2013/12/19,6.3,7.6,3.7,26.5,0,3.9,6,0
2013/12/20,6.1,9.4,3.3,12.5,0.5,3.2,9,0
2013/12/21,6.8,11,2.8,0,7.6,1.9,4.1,0
2013/12/22,7.6,11.4,5.5,0,9.1,3.5,7.4,0
2013/12/23,6.4,8.4,4.4,0,0.8,1.8,5,0
2013/12/24,7.6,12.5,4.5,0,7.3,2.9,5.9,0
2013/12/25,6.7,10.3,3.3,0,8.9,2.3,5,0
2013/12/26,6.3,10,3.4,0.5,0.1,2,4.4,0
2013/12/27,7,9.4,5.1,1.5,0,2.5,7.5,0
2013/12/28,5.4,9.3,2.7,0,9,2.5,5.3,0
2013/12/29,4.9,9.5,0.5,0,9,2.1,4.2,0
2013/12/30,5.4,10.5,0.6,0,8.9,1.6,4.4,0
2013/12/31,6.9,12.7,1.3,0,9,1.4,3.7,0
2014/1/1,9.6,15.5,3.1,0,9,2.8,7.2,0
2014/1/2,7.3,12.1,3.1,0,8.8,2.8,6.4,0
2014/1/3,5.9,8.5,3.8,0,3.7,1.7,3.6,0
2014/1/4,6.5,11.7,2.4,0,5.5,2.5,6.2,0
2014/1/5,5.4,7.3,3.9,0,0.4,3.3,6.3,0
2014/1/6,5.3,10.5,2.1,0,8.8,3.7,8.4,0
2014/1/7,5.5,9.9,1.9,0,8.3,2,4.7,0
2014/1/8,7.3,12.8,2.8,15.5,2.7,1.9,5,0
2014/1/9,7.2,11.8,3,4,1.6,4,9.1,0
2014/1/10,3.6,6.8,1.4,0,8.6,4.2,8.4,0
2014/1/11,4.3,9,0.7,0,8.9,1.7,3.5,0
2014/1/12,5.3,9.5,1.4,0,7.4,1.9,3.9,0
2014/1/13,5.1,8.3,2.4,0,8.6,3.5,7.1,0
2014/1/14,4.2,7.7,1.7,0,6.1,3.4,6.9,0
2014/1/15,3,4.4,1.8,0,0.4,2.4,4.2,0
2014/1/16,4.8,9.1,-0.2,0,9.1,2.3,5.3,0
2014/1/17,5.8,9.5,2.9,0,7.2,2.7,5.3,0
2014/1/18,5.2,8.6,2.8,0,7,2,4.2,0
2014/1/19,4.2,7.1,2,0,9.3,4.7,10.3,0
2014/1/20,4.8,8.5,0.7,0,7.7,1.9,5.2,0
2014/1/21,6.3,11.8,1.8,2,6.3,2,5.6,0
2014/1/22,5.5,9.6,2.1,1.5,8.6,2.3,4.9,0
2014/1/23,6.5,11.1,2.8,0,9.4,2.5,5.2,0
2014/1/24,7.2,12.6,2.4,0,6.6,2.1,3.9,0
2014/1/25,8.4,12.4,3,0,1.2,1.3,5.3,0
2014/1/26,9.5,14.5,2.4,0,5,4.9,9.9,0
2014/1/27,4.6,7.5,1.4,0,9.5,3.2,7.1,0
2014/1/28,8.8,15,1.1,0,9.1,3.1,7,0
2014/1/29,8.9,12.8,4.9,0,9.5,3,6.2,0
2014/1/30,10.3,15.8,5.1,1.5,0.4,2.7,9,0
2014/1/31,9.9,15.9,6.2,0,9.4,3,6.3,0
2014/2/1,7.9,12.3,3.8,0,8.1,1.8,4.1,0
2014/2/2,9.3,13.3,6.1,0,3.4,1.5,3.7,0
2014/2/3,12.8,17.8,7,0,5.9,2.2,6.5,0
2014/2/4,5,11.8,0.9,5,0,3.7,8.2,0
2014/2/5,1.6,5.2,-0.5,0,8.6,4.5,7.8,0
2014/2/6,2.7,6.2,-0.3,0,3.3,3.7,6.3,0
2014/2/7,4,7.2,1.1,0,7.7,2.9,5.7,0
2014/2/8,0.3,4,-0.9,29.5,0,4.9,9,0
2014/2/9,5.4,9.2,1.1,1.5,6.7,3.9,8.2,0
2014/2/10,6,8.7,3.3,0,4.3,2.9,6.3,0
2014/2/11,3.3,4.6,2.1,0,0,3.5,6.1,0
2014/2/12,4.8,8.2,2.8,0,2,3.3,5.8,0
2014/2/13,5.3,8.2,2.4,0,0,2,4.3,0
2014/2/14,1.4,5.4,-0.2,28.5,0,3.8,6.8,0
2014/2/15,3.9,6.9,-0.2,67.5,0.5,5.4,9.8,0
2014/2/16,6.9,10,4.5,0,9.8,5.6,11,0
2014/2/17,7.3,12.9,3.9,0,9.3,3.6,7,0
2014/2/18,4.7,8.8,2.9,0,8.4,4.9,7.8,0
2014/2/19,4.7,9,1.5,0,8.5,4.3,7.6,0
2014/2/20,4.6,7.6,1.4,0,3.9,1.9,4.8,0
2014/2/21,5.5,10.3,2.8,0,9.9,3.7,7,0
2014/2/22,5.1,9.5,1.7,0,9.3,3,6.1,0
2014/2/23,5.6,8.3,2.9,0,2.6,2.2,4,0
2014/2/24,6.3,8.8,4,0,2.3,2,3.7,0
2014/2/25,8.2,12.9,3.4,0,10.1,2.1,5,0
2014/2/26,10,14.2,5.7,0,9.9,2.8,5.3,0
2014/2/27,10,13.7,6.8,7.5,0,2.2,6.1,0
2014/2/28,13.8,18.6,8.5,18,5.3,3.2,6.7,0
2014/3/1,8.9,12.7,7,1,0,2.2,4.6,0
2014/3/2,5.6,7.2,4.9,15,0,2.7,4.5,0
2014/3/3,6.6,10.9,4.4,1,3.7,3.1,6.3,0
2014/3/4,6.9,10.9,2.3,1,9.4,2.6,5.6,0
2014/3/5,6.5,9.3,4.8,30,0,2.8,6.8,0
2014/3/6,5.4,9,3,0,10.5,5.6,10.2,0
2014/3/7,4.4,9.2,1.8,0,5.7,3.3,6.6,0
2014/3/8,5.9,10.2,1.9,0,10.9,2.9,5.8,0
2014/3/9,6.4,9.9,3.1,0,7,2.6,5,0
2014/3/10,4.9,8.8,1.4,0,7.4,4.9,9.4,0
2014/3/11,6.1,11.1,1.3,0,11.2,3.3,6.4,0
2014/3/12,11,16.6,3.3,0,8.9,2.7,6.1,0
2014/3/13,12.3,18.2,8.5,30.5,0.6,3.8,9.5,0
2014/3/14,10.1,13.4,6.7,0,0.1,3.6,7.4,0
2014/3/15,8.3,12,4.5,0,10,4.1,7.4,0
2014/3/16,10.8,17.5,4.5,0,11,2.8,6.9,0
2014/3/17,12.1,16.8,6.6,0,10.8,3.1,7.1,0
2014/3/18,15.4,20.3,8.2,0,9.7,4.8,11.8,0
2014/3/19,11.2,13.5,9.7,0,4,3.5,7.1,0
2014/3/20,8.1,10.4,6.7,17,0,2.8,5.5,0
2014/3/21,10.1,14.5,7,0,8.7,5.2,9.8,0
2014/3/22,9.3,14,5.1,0,11,3.9,6.4,0
2014/3/23,11.6,16.8,7.2,0,10.5,3,6,0
2014/3/24,13.6,18.5,8.5,0,11.3,3.5,6.8,0
2014/3/25,16.6,22.3,11.5,0,10.3,2.5,5.3,1
2014/3/26,16.4,19.4,13.8,0,0.5,2.6,6.7,1
2014/3/27,12.6,15.4,10,4.5,0,2.5,5.3,1
2014/3/28,14.8,20.2,8.4,0,11.6,3,6.6,1
2014/3/29,17.7,22.2,13.4,0,9.5,3.9,6.7,1
2014/3/30,16.5,19.3,14.9,13.5,0.4,5.4,11.3,1
2014/3/31,15.7,20.1,12.7,0,10.3,5.5,10.2,0
2014/4/1,13.9,18.1,10.9,0,10,3.1,6.8,0
2014/4/2,15.2,19.6,10,0,7.6,2.6,6.2,0
2014/4/3,13.8,15.6,12.9,65,0,2,3.4,0
2014/4/4,15.3,22,11,40,4.4,3.7,8.8,0
2014/4/5,11.4,14.9,8.4,0,7,3.7,8.6,0
2014/4/6,9,13.4,6.4,7,4.7,3.2,8.8,0
2014/4/7,11.4,16.5,6.3,0,11.2,3.1,6.1,0
2014/4/8,15.8,22.3,9.2,0,11.5,2,4.7,0
2014/4/9,15.5,20.4,11.3,0,8.2,2.5,5.8,0
2014/4/10,16.1,22.9,10.3,0,10.7,3.9,9.9,0
2014/4/11,12.9,18.7,7.7,0,10.8,3.9,9.3,0
2014/4/12,14.6,20,9.3,0,11.7,2.8,5.3,0
2014/4/13,14.4,18.7,9.6,0,7,2.5,6.3,0
2014/4/14,14,17.6,11.1,0,8.4,3.2,6.1,0
2014/4/15,16.3,20.6,10.3,0,11.8,3.4,7.1,0
2014/4/16,18.7,23.3,13.8,0,10.5,3,8.4,0
2014/4/17,17.7,21.8,13.5,0,9.6,2.8,5.2,0
2014/4/18,11.8,18.2,8.6,0.5,0,2.7,5,0
2014/4/19,11.7,17.9,8.4,0.5,5.9,3.2,6.4,0
2014/4/20,11,14.1,6.9,0,1.1,2.4,4.6,0
2014/4/21,13.4,17.5,10,7,0.2,2.7,7.2,0
2014/4/22,15.2,20,12.3,4.5,4.9,2.7,6.1,0
2014/4/23,16.2,21.3,11.9,3.5,10.1,2.8,6.6,0
2014/4/24,16.6,21.7,12.7,0,10.4,3.1,7.8,0
2014/4/25,17.8,22.5,12.9,0,11.7,3.2,5.8,0
2014/4/26,18.2,23.9,14.1,0,12.1,3,5.7,0
2014/4/27,18.1,22.7,14.7,0,12.2,4,7,0
2014/4/28,18.6,23.2,14.9,0,4.1,3.7,7,0
2014/4/29,17.8,20.6,15.8,0,0.5,2.8,5.7,0
2014/4/30,16.7,18.5,14.1,27,0,3.8,8.5,0
2014/5/1,20.6,24.5,17.7,23,6.8,4.2,7.9,0
2014/5/2,21,25.6,17.3,0,10.4,2.7,5.7,0
2014/5/3,21.3,25.6,15.9,0,10.9,2.8,6.5,0
2014/5/4,18.6,23,14.8,0,11.1,4.5,8.9,0
2014/5/5,18.1,20.7,16.7,0,0,3.9,7.4,0
2014/5/6,14.3,18,12.5,3.5,0,3,6.2,0
2014/5/7,16.5,21.5,11.2,0,11.7,3.2,6.2,0
2014/5/8,18.7,21.5,16,0,8.1,5.5,10.6,0
2014/5/9,19.3,26.8,14.4,1.5,11,3.2,11.3,0
2014/5/10,19.8,24.9,13.6,0,11.8,4.4,9.8,0
2014/5/11,20.6,25.3,17,0,13,3.3,6.3,0
2014/5/12,19.6,23.3,17.1,1,8.1,5.8,11.1,0
2014/5/13,19.3,22.7,16.5,5.5,2.2,3.2,7.7,0
2014/5/14,21.9,27.2,17.4,0,6.5,3.3,7.3,0
2014/5/15,19.9,21.9,17.9,0.5,1.1,2.5,5.4,0
2014/5/16,21.5,25.7,18,0,8.2,3.7,8.6,0
2014/5/17,21.1,26.2,17,0,11.3,4.1,8.7,0
2014/5/18,20.5,25.2,16.1,0,13.1,2.9,6.3,0
2014/5/19,21.1,25.7,17.4,0,10,2.6,5.6,0
2014/5/20,21.7,25.6,18.8,0,7.1,2.9,5.9,0
2014/5/21,17.5,19.5,15.9,52,0,3.7,7.4,0
2014/5/22,18.6,22.8,13.5,19.5,7.9,2.4,5.9,0
2014/5/23,17.8,21.7,14.2,0,6.4,3,5.1,0
2014/5/24,20.6,25.4,15.4,0,11.6,3.6,6.6,0
2014/5/25,22.7,27.3,20,0,5.2,2.8,4.3,0
2014/5/26,21.3,24.6,18.6,7.5,1.3,4.8,10.4,0
2014/5/27,21.4,26.5,17.7,21.5,2.1,2.8,6.1,0
2014/5/28,22.7,27.7,19.8,0,6.6,2.9,6.7,0
2014/5/29,23.1,27.5,19.3,0,8.8,2.4,5.3,0
2014/5/30,24.1,29,20,0,11.8,2.6,5.9,0
2014/5/31,25.6,31.6,20.2,0,12.4,2.4,5.3,0
2014/6/1,26.6,33.1,21,0,13.1,2.4,5.2,0
2014/6/2,25.5,31.4,20.5,0,11.2,2.3,6,0
2014/6/3,24,28.9,20.4,0,7.8,2.6,5.7,0
2014/6/4,24.3,29.4,22.1,0,8.1,3.4,7.4,0
2014/6/5,21.2,23.3,18.6,18,0,2.8,5.2,0
2014/6/6,19.9,20.9,19,123.5,0,3.5,5.5,0
2014/6/7,18.4,19.2,17.7,61.5,0,3.5,5.4,0
2014/6/8,20.5,22.4,17.9,6.5,0,2.5,5.3,0
2014/6/9,22.9,25.6,19.3,4.5,3.1,2,5.6,0
2014/6/10,23.5,27.8,20.4,2,3.5,2.3,6.1,0
2014/6/11,22.2,24.4,20.9,13,0,1.9,4.6,0
2014/6/12,22,23.7,20.7,16,0.2,2.9,5.3,0
2014/6/13,24.9,30.3,20.1,1.5,10.7,2.4,5.6,0
2014/6/14,24.7,29.4,20.1,0,12.5,3,7.2,0
2014/6/15,24.4,29.6,20.1,0,13,2.8,6.1,0
2014/6/16,25,29.8,21.7,0,11,2.8,5.8,0
2014/6/17,24.3,27.8,21.7,0,4.2,2.8,5.7,0
2014/6/18,23.2,25.1,21.7,0,0.5,1.9,4.7,0
2014/6/19,24.8,28.5,21.4,0,11,3.3,6.6,0
2014/6/20,24.6,27.9,22,0,9.9,3.6,7.1,0
2014/6/21,24.6,27.7,22.6,0,4,3.1,6.2,0
2014/6/22,22.5,23.6,21.3,6,0,1.8,3.6,0
2014/6/23,24.2,27.8,21.3,0,4,2.6,5.8,0
2014/6/24,22.6,26.6,20.9,5,1.3,1.9,5.3,0
2014/6/25,22.6,26.2,20.6,5.5,0.6,1.9,5.4,0
2014/6/26,23.6,28.2,20.3,0,6,2.6,6.5,0
2014/6/27,23.9,26.2,22.2,7.5,2.2,2.3,4,0
2014/6/28,22.8,24.8,21.5,13,0,2.2,4.3,0
2014/6/29,23.3,28.9,21,27.5,2.6,2.2,5.8,0
2014/6/30,23.6,27.3,20.7,0,2.5,2.7,5.2,0
2014/7/1,25.3,29.6,21,1.5,5.2,2.7,5.4,0
2014/7/2,25.8,30.3,22.2,0,8.8,2.8,5.9,0
2014/7/3,24.8,27.5,21.8,2,2.3,2.8,6.6,0
2014/7/4,21.6,23.4,20.6,5,0,2.4,4.2,0
2014/7/5,22,24.3,20.1,1.5,0.8,2.2,4,0
2014/7/6,24.2,28.5,20.6,0,6.8,2.5,5.1,0
2014/7/7,23.4,24.9,21.6,7,0,2.4,4.8,0
2014/7/8,26.8,31.5,21.6,0,10.4,2.6,5.9,0
2014/7/9,24.2,25.7,23.3,9,0,2.3,6.3,0
2014/7/10,26.6,29.7,23.5,3.5,1.3,5.3,9.8,0
2014/7/11,28.5,34.2,24.1,4,6.4,2.8,8.6,0
2014/7/12,29.2,32.8,26.5,0,9.5,2.9,6.3,0
2014/7/13,26.9,28,25.6,0,0.2,3.3,8,0
2014/7/14,28.5,32.9,25.4,0,6.4,2.6,5.1,0
2014/7/15,28.2,32.5,24.7,0,6.7,2.8,6,0
2014/7/16,28,32.3,24.7,0,10.1,2.7,6.2,0
2014/7/17,27.1,31.8,24.4,0,4.1,3.1,6.6,0
2014/7/18,24.9,27.5,22.6,2.5,0,2.3,3.9,0
2014/7/19,23.8,26.4,22.1,6.5,0,1.9,4.3,0
2014/7/20,24.5,29.9,21.8,53,3.1,2.1,6.5,0
2014/7/21,25,28.8,22.6,0,3.9,2.4,6.4,0
2014/7/22,27.7,31.2,24.7,0,7,2.6,5.9,0
2014/7/23,29.4,33.1,25.6,0,9,2.4,4.9,0
2014/7/24,29.9,34.6,26.2,7,2.5,2.2,5.4,0
2014/7/25,30.5,35.6,26.4,0,11.7,2.7,6.4,0
2014/7/26,30.5,34.6,27.9,0,10.2,3.3,7,0
